Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
66.586969,-38.434093,48640.9783,552.4,1332.6719,2.01E+12,108.05,660.45,1,4/9/2009
66.58698,-38.433756,48641.2312,551.39,1332.5992,2.01E+12,107.81,659.2,1,4/9/2009
66.293707,-38.054751,49532.382,125.79,1218.0373,2.01E+12,247.22,373.01,1,4/11/2009
66.293836,-38.054846,49532.597,125.15,1217.5424,2.01E+12,247.22,372.37,1,4/11/2009
66.683984,-38.434229,59936.014,681.41,1657.4361,2.01E+12,121.47,802.88,1,4/14/2009
68.528807,-33.362797,50941.3506,126.28,2066.4944,2.01E+12,1012.42,1138.7,1,4/22/2009
65.148771,-40.846295,59937.3716,117.97,912.2648,2.01E+12,254.48,372.45,1,4/23/2009
64.31176,-49.610349,51627.3749,0,267.8294,2.01E+12,235.19,235.19,1,4/28/2009
64.311855,-49.610562,51627.6209,0,267.2507,2.01E+12,235.19,235.19,1,4/28/2009
77.292365,-55.183639,42690.8734,1959.98,2666.9215,2.01E+12,443.32,2403.3,2,3/30/2010
77.292433,-55.18313,42690.9758,1958.27,2667.2538,2.01E+12,443.32,2401.59,2,3/30/2010
77.536838,-66.175168,40909.1957,0,518.7483,2.01E+12,474.35,474.35,1,3/24/2010
77.536812,-66.174591,40909.2973,0,518.7341,2.01E+12,474.43,474.43,1,3/24/2010
77.292568,-55.182112,42691.1806,1959.75,2667.9213,2.01E+12,443.32,2403.07,2,3/30/2010
77.292635,-55.181603,42691.283,1961.53,2668.256,2.01E+12,443.32,2404.85,2,3/30/2010
77.490962,-53.616323,42995.3992,2284.2,2784.4848,2.01E+12,427.67,2711.86,2,3/30/2010
77.491027,-53.615797,42995.4998,2284.41,2784.4318,2.01E+12,427.67,2712.08,2,3/30/2010
74.637946,-61.31745,41800.3005,0,7951.9467,2.01E+12,7920.8,7920.8,1,4/9/2010
74.63786,-61.317195,41800.3549,0,7952.2273,2.01E+12,7920.8,7920.8,1,4/9/2010
77.882912,-53.797924,66029.9746,2240.17,4680.9249,2.01E+12,2383.94,4624.11,1,4/12/2010
77.882819,-53.797647,66030.0417,2240.17,4680.0501,2.01E+12,2383.94,4624.11,1,4/12/2010
84.108663,-66.637048,62789.4478,0,497.8835,2.01E+12,473.92,473.92,1,4/20/2010
84.10857,-66.63649,62789.5315,0,497.8791,2.01E+12,473.92,473.92,1,4/20/2010
77.773669,-68.253201,42287.0993,42.65,5096.0592,2.01E+12,4377.06,4419.72,1,3/31/2011
77.77379,-68.253063,42287.2018,43.02,5096.0548,2.01E+12,4377.06,4420.09,1,3/31/2011
67.154929,-48.905252,39240.7894,977.69,1754.0533,2.01E+12,438.64,1416.32,1,4/6/2011
67.155055,-48.905233,39240.9085,984.36,1754.5665,2.01E+12,438.63,1423,1,4/6/2011
67.15518,-48.905213,39241.0276,992.78,1755.0786,2.01E+12,438.63,1431.42,1,4/6/2011
67.155305,-48.905193,39241.1467,996.76,1755.5954,2.01E+12,438.63,1435.4,1,4/6/2011
67.15543,-48.905173,39241.2658,997.36,1756.1129,2.01E+12,438.64,1435.99,1,4/6/2011
66.975669,-49.874633,38011.7752,0,1538.7272,2.01E+12,1206.14,1206.14,1,4/7/2011
66.975619,-49.874338,38011.8904,0,1538.5544,2.01E+12,1194.89,1194.89,1,4/7/2011
66.97557,-49.874043,38012.0056,0,1538.3816,2.01E+12,1187.38,1187.38,1,4/7/2011
66.975521,-49.873748,38012.1208,0,1538.2088,2.01E+12,1181.51,1181.51,1,4/7/2011
66.450088,-52.12877,38303.8175,0,1887.8738,2.01E+12,1210.82,1210.82,1,4/8/2011
66.44997,-52.12868,38303.9346,0,1887.6981,2.01E+12,1212.24,1212.24,1,4/8/2011
66.449853,-52.128591,38304.0517,0,1887.5172,2.01E+12,1213.66,1213.66,1,4/8/2011
66.449735,-52.128501,38304.1689,0,1887.3367,2.01E+12,1215.08,1215.08,1,4/8/2011
